40;40
60;40
80;40
100;40
120;40
140;40
160;40
180;40
200;40
220;40
240;40
260;40
280;40
300;40
320;40
340;40
360;40
380;40
400;40
420;40
440;40
460;40
480;40
500;40
40;440
60;440
80;440
100;440
120;440
140;440
160;440
180;440
200;440
220;440
240;440
260;440
280;440
300;440
320;440
340;440
360;440
380;440
400;440
420;440
440;440
460;440
480;440
500;440
40;40
40;60
40;80
40;100
40;120
40;140
40;160
40;180
40;200
40;220
40;240
40;260
40;280
40;300
40;320
40;340
40;360
40;380
40;400
40;420
520;40
520;60
520;80
520;100
520;120
520;140
520;160
520;180
520;200
520;220
520;240
520;260
520;280
520;300
520;320
520;340
520;360
520;380
520;400
520;420
520;440
